a,psi,df,lon,lat,mode,v,y,x,t
-0.3132381737232208,-0.10990280472182601,0,29.83495330810547,-25.709184646606445,Real,0.09762348914015355,29.83495330810547,-25.709184646606445,1723884158.0007749
-0.2390429824590683,-0.10975782318006733,0.0016512102667874452,29.845006942749023,-25.712804794311523,,0.10595129408832756,29.845006942749023,-25.712804794311523,1723884158.1011484
-0.279735803604126,-0.10937893959050582,0.0016512102667874452,29.83234977722168,-25.726634979248047,,0.18590721393191573,29.83234977722168,-25.726634979248047,1723884158.201501
-0.33958593010902405,-0.10910966725356763,0.0016512102667874452,29.83915138244629,-25.724855422973633,,0.06969821716764593,29.83915138244629,-25.724855422973633,1723884158.3018348
-0.028348812833428383,-0.11016380032724715,0.0016512102667874452,29.8281307220459,-25.712156295776367,,0.1667081472049941,29.8281307220459,-25.712156295776367,1723884158.4021761
-0.3659375309944153,-0.11007590358234776,0.0016512102667874452,29.839996337890625,-25.713375091552734,,0.11830745073526512,29.839996337890625,-25.713375091552734,1723884158.5025332
-0.1983422487974167,-0.10887376727467535,0.0016512102667874452,29.8319149017334,-25.718130111694336,,0.0929264157343554,29.8319149017334,-25.718130111694336,1723884158.602884
-0.3491744101047516,-0.10879338568074592,0.0016512102667874452,29.838708877563477,-25.719459533691406,,0.06865863143014714,29.838708877563477,-25.719459533691406,1723884158.7032254
-0.23186448216438293,-0.10993779073556365,0.0016512102667874452,29.833967208862305,-25.700883865356445,,0.19007094783727516,29.833967208862305,-25.700883865356445,1723884158.803559
-0.30130308866500854,-0.10986843872944307,0.0016512102667874452,29.840940475463867,-25.704195022583008,,0.07652951663147747,29.840940475463867,-25.704195022583008,1723884158.9039147
-0.3779003918170929,-0.10925105966231197,0.0016512102667874452,29.836017608642578,-25.7240047454834,,0.20244968066111002,29.836017608642578,-25.7240047454834,1723884159.0042415
-0.4856337010860443,-0.10900692663509082,0.0016512102667874452,29.83997917175293,-25.728530883789062,,0.05963002514211815,29.83997917175293,-25.728530883789062,1723884159.104692
-0.4593138098716736,-0.1093808671975145,0.0016512102667874452,29.840322494506836,-25.709453582763672,,0.18914814006919786,29.840322494506836,-25.709453582763672,1723884159.2050247
-0.3635275065898895,-0.10947750946194734,0.0016512102667874452,29.840198516845703,-25.709651947021484,,0.0023200581655218985,29.840198516845703,-25.709651947021484,1723884159.3053455
-0.24384719133377075,-0.10916019336958405,0.0016512102667874452,29.8463077545166,-25.710121154785156,,0.06075192845166759,29.8463077545166,-25.710121154785156,1723884159.4056594
-0.2581883668899536,-0.10919625053208115,0.0016512102667874452,29.845428466796875,-25.713035583496094,,0.03017436701980331,29.845428466796875,-25.713035583496094,1723884159.505973
-0.31804636120796204,-0.11047079167375884,0.0016512102667874452,29.846961975097656,-25.716550827026367,,0.038025883612851384,29.846961975097656,-25.716550827026367,1723884159.6063058
-0.2869182825088501,-0.1100191902010037,0.0016512102667874452,29.843355178833008,-25.716495513916016,,0.03577625643970369,29.843355178833008,-25.716495513916016,1723884159.7066276
-0.15286506712436676,-0.10871846620328451,0.0016512102667874452,29.85164451599121,-25.72205924987793,,0.09898543598870067,29.85164451599121,-25.72205924987793,1723884159.8068647
-0.2126992791891098,-0.10887257230955072,0.0016512102667874452,29.840280532836914,-25.71734046936035,,0.12199245570256001,29.840280532836914,-25.71734046936035,1723884159.9071693
-0.3802945613861084,-0.10969538497338105,0.0016512102667874452,29.853132247924805,-25.712474822998047,,0.1362781779557016,29.853132247924805,-25.712474822998047,1723884160.00748
-0.49999871850013733,-0.10922651219806534,0.0016512102667874452,29.84641456604004,-25.70925521850586,,0.07384602894055588,29.84641456604004,-25.70925521850586,1723884160.1077876
-0.3826887011528015,-0.11016516386110009,0.0016512102667874452,29.85213851928711,-25.708168029785156,,0.05776492113629946,29.85213851928711,-25.708168029785156,1723884160.2081006
-0.265386700630188,-0.11001829509365191,0.0016512102667874452,29.851186752319336,-25.70635223388672,,0.020325847704955952,29.851186752319336,-25.70635223388672,1723884160.3083594
0.3427462875843048,-0.10906176126178924,0.0016512102667874452,29.826942443847656,-25.695539474487305,,0.2631586551067302,29.826942443847656,-25.695539474487305,1723884160.4086914
0.3571033179759979,-0.108821308045711,0.0016512102667874452,29.830108642578125,-25.6917667388916,,0.04885075928140949,29.830108642578125,-25.6917667388916,1723884160.5090163
-0.021162359043955803,-0.11004249995374771,0.0016512102667874452,29.856136322021484,-25.697128295898438,,0.2632812992146535,29.856136322021484,-25.697128295898438,1723884160.6093338
0.30922797322273254,-0.10989012756068028,0.0016512102667874452,29.85908317565918,-25.693784713745117,,0.044219654480454965,29.85908317565918,-25.693784713745117,1723884160.7096505
0.9771872162818909,-0.10913636261642123,0.0016512102667874452,29.843671798706055,-25.674217224121094,,0.2468830269098546,29.843671798706055,-25.674217224121094,1723884160.8099725
0.5653993487358093,-0.10903996035732044,0.0016512102667874452,29.850740432739258,-25.648122787475586,,0.26812198725527553,29.850740432739258,-25.648122787475586,1723884160.910306
0.1488112360239029,-0.10905957157213964,0.0016512102667874452,29.84356689453125,-25.607336044311523,,0.4105883867894817,29.84356689453125,-25.607336044311523,1723884161.0106447
0.38343510031700134,-0.10921556189652826,0.0016512102667874452,29.8526554107666,-25.5526123046875,,0.5499660853473515,29.8526554107666,-25.5526123046875,1723884161.110983
0.27809199690818787,-0.10932429963309742,0.0016512102667874452,29.84171485900879,-25.49671173095703,,0.5646802864927919,29.84171485900879,-25.49671173095703,1723884161.2113214
