Timestamp,Min Distance,Feedback Speed
1723894891.215847,100,0.590511551718566
1723894891.3155985,100,0.3068014698495225
1723894891.4149227,100,0.3418158227137319
1723894891.516201,100,0.07511064814140313
1723894891.6162717,100,0.7291982240127028
1723894891.715033,100,0.21804637918086903
1723894891.8154092,100,0.5185707376816369
1723894891.9154305,100,0.49331965719336723
1723894892.0164297,100,0.37603110240624826
1723894892.1153984,100,0.3514283112103251
1723894892.2172024,100,0.3078094668822299
1723894892.316898,100,0.4946409173374137
1723894892.4171968,100,0.3903801578306815
1723894892.51523,100,0.09322420139810943
1723894892.6155262,100,0.06420832435501743
1723894892.715237,100,0.4045710057896484
1723894892.8171873,100,0.04582412725215258
1723894892.9186542,100,0.5301033931937532
1723894893.0151684,100,0.23228156919811668
1723894893.1166012,100,0.4119506184512718
1723894893.215283,100,0.17307562117433495
1723894893.315667,100,0.7337394315660497
1723894893.4144807,100,0.5779492886097423
1723894893.5154848,100,0.08899008850425172
1723894893.6164393,100,0.03165509371643386
1723894893.7154644,100,0.1973566322059989
1723894893.8155522,100,0.15950160043853825
1723894893.914596,100,0.20899091415357687
1723894894.015096,100,0.3987065578687055
1723894894.115326,100,0.42689507885804134
1723894894.2161455,100,0.49133428016695097
1723894894.3176076,100,0.34068056010551356
1723894894.414514,100,0.39840150231572574
1723894894.5153482,100,0.23564379018648138
1723894894.614617,100,0.321427586237822
1723894894.7144578,100,0.31665109073230097
1723894894.815736,100,0.39755984224687374
1723894894.9230072,100,0.34107746399494604
1723894895.0166824,100,0.7218129968242549
1723894895.1156964,100,0.26890800120083136
1723894895.2149503,100,0.7905039968167856
1723894895.3156025,100,0.19492914523944832
1723894895.4156187,100,0.7382366912246557
1723894895.514608,100,0.15398324513793785
1723894895.6176326,100,0.36566029534746436
1723894895.7183995,100,0.3031550225128521
1723894895.8176975,100,0.7081890532768317
1723894895.9156275,100,0.8229395408966573
1723894896.0145419,100,0.16494277072711952
1723894896.1157165,100,0.6514301158655372
1723894896.214598,100,0.3287300115377563
1723894896.3143632,100,0.19687751662317624
1723894896.4163482,100,0.3995408289646309
1723894896.5157871,100,0.3487738350316291
1723894896.6160014,100,0.4786588054483725
1723894896.7164872,100,0.3580814322727631
1723894896.8156998,100,0.33067508431514664
1723894896.914305,100,0.2819135304044065
1723894897.0158408,100,0.5539618413403378
1723894897.1156218,100,0.39165632782460136
1723894897.2148259,100,0.4946032272830765
1723894897.3147762,100,0.38126725121298394
1723894897.4164274,100,0.32679878487392855
1723894897.5143156,100,0.3889244217496608
1723894897.6158814,100,0.1466717009942262
1723894897.7158878,100,0.6161865487002417
1723894897.816363,100,0.6692817846834318
1723894897.919034,100,0.46333223921419897
1723894898.0163906,100,0.4315580297173108
1723894898.1153803,100,0.44714072994522175
